sequence,survived,category
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Grande_Potion -> Escalier -> Inscription -> Fosse -> Liche -> Couloir -> Salle_Vide -> Coffre -> Zombie -> Gemmes -> Or -> Gobelin -> Coffre -> Couloir -> Rat -> Grande_Potion -> Gaz_Toxique -> Orc -> Zombie -> Escalier -> Couloir -> Potion -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Orc -> Salle_Vide -> Gemmes -> Potion -> Fosse -> Minotaure -> Escalier -> Fosse -> Or -> Gemmes -> Inscription -> Gaz_Toxique -> Demon -> Dragon -> Escalier -> Coffre -> Escalier -> Couloir -> Couloir -> Liche -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Gemmes -> Or -> Hydre -> Inscription -> Dragon -> Or -> Grande_Potion -> Rat -> Escalier -> Repas -> Gemmes -> Inscription -> Inscription -> Escalier -> Fontaine_Sacree -> Coffre -> Couloir -> Inscription -> Liche -> Rat -> Gobelin -> Zombie -> Coffre -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Salle_Vide -> Gobelin -> Demon -> Or -> Rat -> Coffre -> Couloir -> Rat -> Salle_Vide -> Orc -> Potion -> Coffre -> Repas -> Demon -> Or -> Rat -> Salle_Vide -> Repas -> Inscription -> Couloir -> Fosse -> Escalier -> Salle_Vide -> Gaz_Toxique -> Coffre -> Fontaine_Sacree -> Salle_Vide -> Escalier -> Rat -> Gobelin -> Gobelin -> Gobelin -> Salle_Vide -> Or -> Gemmes -> Orc -> Gobelin -> Troll -> Dragon -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Piege_a_Pics -> Fontaine_Sacree -> Piege_a_Pics -> Zombie -> Orc -> Grande_Potion -> Inscription -> Or -> Inscription -> Gobelin -> Gobelin -> Liche -> Sortie,0,synthetic
Entree -> Inscription -> Fosse -> Gemmes -> Salle_Vide -> Couloir -> Or -> Inscription -> Zombie -> Gobelin -> Orc -> Fosse -> Zombie -> Orc -> Hydre -> Gemmes -> Demon -> Sortie,0,synthetic
Entree -> Orc -> Or -> Coffre -> Gobelin -> Escalier -> Or -> Rat -> Zombie -> Rat -> Or -> Minotaure -> Couloir -> Gaz_Toxique -> Inscription -> Fosse -> Fontaine_Sacree -> Escalier -> Orc -> Orc -> Zombie -> Orc -> Gobelin -> Potion -> Or -> Grande_Potion -> Gobelin -> Inscription -> Or -> Orc -> Demon -> Sortie,0,synthetic
Entree -> Zombie -> Coffre -> Inscription -> Gemmes -> Fontaine_Sacree -> Zombie -> Repas -> Or -> Potion -> Piege_a_Pics -> Coffre -> Hydre -> Gemmes -> Escalier -> Piege_a_Pics -> Inscription -> Couloir -> Or -> Dragon -> Couloir -> Couloir -> Couloir -> Repas -> Gobelin -> Gemmes -> Escalier -> Inscription -> Couloir -> Fosse -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Salle_Vide -> Potion -> Orc -> Escalier -> Gemmes -> Inscription -> Fosse -> Dragon -> Orc -> Fontaine_Sacree -> Inscription -> Couloir -> Zombie -> Repas -> Couloir -> Gemmes -> Gemmes -> Potion -> Or -> Piege_a_Pics -> Or -> Gemmes -> Fosse -> Salle_Vide -> Zombie -> Orc -> Inscription -> Gaz_Toxique -> Rat -> Escalier -> Couloir -> Dragon -> Sortie,0,synthetic
Amulette_Protection -> Or -> Liche -> Minotaure -> Escalier -> Zombie -> Orc -> Salle_Vide -> Potion -> Salle_Vide -> Coffre -> Rat -> Escalier -> Repas -> Couloir -> Couloir -> Fontaine_Sacree -> Escalier -> Salle_Vide -> Coffre -> Coffre -> Or -> Salle_Vide -> Couloir -> Gemmes -> Inscription -> Couloir -> Dragon,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Orc -> Coffre -> Salle_Vide -> Salle_Vide -> Potion -> Fosse -> Zombie -> Inscription -> Gemmes -> Gaz_Toxique -> Coffre -> Gemmes -> Gaz_Toxique -> Salle_Vide -> Escalier -> Gobelin -> Potion -> Grande_Potion -> Orc -> Gemmes -> Rat -> Inscription -> Gaz_Toxique -> Inscription -> Coffre -> Rat -> Escalier -> Hydre -> Gemmes -> Sortie,0,synthetic
